product_name,description1,description2,description3
Toalettpapper 6-p Miljömärkt ICA,,"0.648kg, (Ord jmf 58,56 kr/kg)","3 för 75 kr -- Stammispris3 för 75 kr37,95 kr/st"
Risgröt 500g Felix,,"0.5kg, (Ord jmf 27,00 kr/kg), Max 1 erbj/hushåll","3 för 30 kr -- Max 1 erbj/hushåll3 för 30 kr13,50 kr/st"
Bacon 140g Scan,,"0.14kg, (Ord jmf 103,57 kr/kg), Max 1 erbj/hushåll","3 för 33 kr -- Max 1 erbj/hushåll3 för 33 kr14,50 kr/st"
Mango Fryst 250g ICA,,"0.25kg, (Ord jmf 75,80 kr/kg)","15 kr/st -- Stammispris15 kr18,95 kr"
Broccolibuketter Fryst 800g ICA,,"0.8kg, (Erbj jmf 21,13 kr/kg), Max 2 erbj/hushåll","16,90 kr/st -- Max 2 erbj/hushåll16,90 kr25,95 kr"
Yoghurt Original Jordgubb & smultron 2% 1000g Yoggi®,,"1kg, (Ord jmf 24,50 kr/kg), Max 1 erbj/hushåll, Sverige","2 för 35 kr -- Max 1 erbj/hushåll2 för 35 kr24,50 kr/st"
Chokladkaka Mjölkchoklad 200g Marabou,,"0.2kg, (Ord jmf 114,75 kr/kg)","3 för 60 kr3 för 60 kr22,95 kr/st"
Cottage cheese Naturell 4% 500g KESO®,,"0.5kg, (Erbj jmf 50,00 kr/kg), Sverige","25 kr/st25 kr29,95 kr"
Hushållspapper Mat & kök 4-p Miljömärkt ICA,,"0.532kg, (Ord jmf 58,18 kr/kg)","3 för 75 kr -- Stammispris3 för 75 kr30,95 kr/st"
Feta 150g Zeta,,"0.15kg, (Erbj jmf 159,33 kr/kg)","23,90 kr/st23,90 kr25,95 kr"
Zero 33cl 10-p Coca-Cola,,"3.3L, (Erbj jmf 12,09 kr/l exkl pant), Max 2 erbj/hushåll, Pant 10,00 kr","39,90 kr/st -- Max 2 erbj/hushåll39,90 kr62,95 kr"
Lövbiff Innanlår ca 450g ICA,,"Ca0.45kg, (Erbj jmf 169,01 kr/kg), Sverige","169 kr/kgCa 76,05 kr87,75 kr"
Skinka Basturökt 120g Lönneberga,,"0.12kg, (Ord jmf 241,25 kr/kg), Sverige","2 för 40 kr2 för 40 kr28,95 kr/st"
"Nötfärs finmald 12% ca 1,6kg ICA",,"Ca1.6kg, (Erbj jmf 99,00 kr/kg), Sverige","99 kr/kgCa 158,39 kr171,20 kr"
Morötter Ekologiska 1kg KRAV Klass 1 ICA I,,"1kg, (Ord jmf 31,95 kr/kg), Sverige","15 kr/st -- Stammispris15 kr31,95 kr"
Ost & skinkpaj Fryst 220g Felix,,"0.22kg, (Ord jmf 136,14 kr/kg)","3 för 79 kr3 för 79 kr29,95 kr/st"
Krossade Tomater 390g KRAV ICA I love eco,,"0.39kg, (Ord jmf 37,18 kr/kg)","2 för 22 kr2 för 22 kr14,50 kr/st"
"Havregryn 1,5kg ICA",,"1.5kg, (Erbj jmf 10,00 kr/kg), Max 2 erbj/hushåll","15 kr/st -- Max 2 erbj/hushåll15 kr22,95 kr"
Tandkräm Original 75ml Sensodyne,,"0.075L, (Ord jmf 359,33 kr/l)","2 för 45 kr2 för 45 kr26,95 kr/st"
LantGoda Surdegsbröd 650g Pågen,,"0.65kg, (Erbj jmf 38,46 kr/kg), Sverige","25 kr/st25 kr32,50 kr"
Ärter med fläsk 500g Felix,,"0.5kg, (Ord jmf 23,00 kr/kg), Max 1 erbj/hushåll","3 för 30 kr -- Max 1 erbj/hushåll3 för 30 kr11,50 kr/st"
Potatisklyftor med skal Fryst 800g ICA,,"0.8kg, (Ord jmf 28,69 kr/kg)","2 för 30 kr2 för 30 kr22,95 kr/st"
